Crack_id,Young's Modulus (GPa),Poisson's ratio,Tensile strength (MPa),Compressive Strength (MPa),Density (g/cm3),Friction coefficient ,Inclination angle,X,Y,Fracture Growth
1,2.9,0.44,75,139,1.18,0.53,0,2.117450989,5.529801325,0
1,2.9,0.44,75,139,1.18,0.53,0,2.51524056,5.397350993,0
1,2.9,0.44,75,139,1.18,0.53,0,2.497313714,5.811258278,0
1,2.9,0.44,75,139,1.18,0.53,0,2.86193588,5.695364238,0
1,2.9,0.44,75,139,1.18,0.53,0,2.049745625,5.976821192,0
1,2.9,0.44,75,139,1.18,0.53,0,1.818560589,5.794701987,0
1,2.9,0.44,75,139,1.18,0.53,0,2.313495022,6.324503311,0
1,2.9,0.44,75,139,1.18,0.53,0,2.628722424,6.125827815,0
1,2.9,0.44,75,139,1.18,0.53,0,2.281862638,5.877483444,0
1,2.9,0.44,75,139,1.18,0.53,0,1.932481032,6.390728477,0
1,2.9,0.44,75,139,1.18,0.53,0,1.850247796,6.225165563,0
1,2.9,0.44,75,139,1.18,0.53,0,1.914609008,6.78807947,0
1,2.9,0.44,75,139,1.18,0.53,0,2.311850357,6.821192053,0
1,2.9,0.44,75,139,1.18,0.53,0,2.594019999,6.605960265,0
1,2.9,0.44,75,139,1.18,0.53,0,2.641770098,7.185430464,0
1,2.9,0.44,75,139,1.18,0.53,0,2.327036095,7.235099338,0
1,2.9,0.44,75,139,1.18,0.53,0,1.995855445,7.251655629,0
1,2.9,0.44,75,139,1.18,0.53,0,2.027597474,7.665562914,0
1,2.9,0.44,75,139,1.18,0.53,0,2.325555897,7.682119205,0
1,2.9,0.44,75,139,1.18,0.53,0,2.557782553,7.549668874,0
1,2.9,0.44,75,139,1.18,0.53,0,2.659258366,6.90397351,0
1,2.9,0.44,75,139,1.18,0.53,0,2.656188325,7.831125828,0
1,2.9,0.44,75,139,1.18,0.53,0,2.407350555,7.98013245,0
1,2.9,0.44,75,139,1.18,0.53,0,2.0430025,8.013245033,0
1,2.9,0.44,75,139,1.18,0.53,0,2.146890487,6.639072848,0
1,2.9,0.44,75,139,1.18,0.53,0,2.115148458,6.225165563,0
1,2.9,0.44,75,139,1.18,0.53,0,2.810238586,6.30794702,0
1,2.9,0.44,75,139,1.18,0.53,0,2.929202667,5.380794702,0
1,2.9,0.44,75,139,1.18,0.53,0,3.268442174,7.930463576,0
1,2.9,0.44,75,139,1.18,0.53,0,3.253037147,7.582781457,0
1,2.9,0.44,75,139,1.18,0.53,0,3.254078768,7.268211921,0
1,2.9,0.44,75,139,1.18,0.53,0,3.255230034,6.920529801,0
1,2.9,0.44,75,139,1.18,0.53,0,3.306269462,6.506622517,0
